zip,cbsa,cbsa_title,urban_area,ua_title
95045,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95046,41940,"San Jose-Sunnyvale-Santa Clara, CA",33328,"Gilroy--Morgan Hill, CA"
95050,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95051,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95052,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95053,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95054,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95055,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95056,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95060,42100,"Santa Cruz-Watsonville, CA",79336,"Santa Cruz, CA"
95061,42100,"Santa Cruz-Watsonville, CA",NA,NA
95062,42100,"Santa Cruz-Watsonville, CA",79336,"Santa Cruz, CA"
95063,42100,"Santa Cruz-Watsonville, CA",NA,NA
95064,42100,"Santa Cruz-Watsonville, CA",79336,"Santa Cruz, CA"
95065,42100,"Santa Cruz-Watsonville, CA",79336,"Santa Cruz, CA"
95066,42100,"Santa Cruz-Watsonville, CA",79336,"Santa Cruz, CA"
95067,42100,"Santa Cruz-Watsonville, CA",NA,NA
95070,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95071,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95073,42100,"Santa Cruz-Watsonville, CA",79336,"Santa Cruz, CA"
95075,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95076,42100,"Santa Cruz-Watsonville, CA",92890,"Watsonville, CA"
95077,42100,"Santa Cruz-Watsonville, CA",NA,NA
95101,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95103,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95106,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95108,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95109,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95110,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95111,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95112,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95113,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95116,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95117,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95118,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95119,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95120,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95121,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95122,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95123,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95124,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95125,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95126,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95127,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95128,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95129,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95130,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95131,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95132,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95133,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95134,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95135,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95136,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95138,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95139,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95140,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95141,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95148,41940,"San Jose-Sunnyvale-Santa Clara, CA",79039,"San Jose, CA"
95150,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95151,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95152,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95153,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95154,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95155,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95156,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95157,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95158,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95159,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95160,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95161,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95164,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95170,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95172,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95173,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95191,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95192,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95196,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA
95201,44700,"Stockton-Lodi, CA",NA,NA
95202,44700,"Stockton-Lodi, CA",85087,"Stockton, CA"
95203,44700,"Stockton-Lodi, CA",85087,"Stockton, CA"
95204,44700,"Stockton-Lodi, CA",85087,"Stockton, CA"
95205,44700,"Stockton-Lodi, CA",85087,"Stockton, CA"
95206,44700,"Stockton-Lodi, CA",85087,"Stockton, CA"
95207,44700,"Stockton-Lodi, CA",85087,"Stockton, CA"
95208,44700,"Stockton-Lodi, CA",NA,NA
95209,44700,"Stockton-Lodi, CA",85087,"Stockton, CA"
95210,44700,"Stockton-Lodi, CA",85087,"Stockton, CA"
95211,44700,"Stockton-Lodi, CA",85087,"Stockton, CA"
95212,44700,"Stockton-Lodi, CA",85087,"Stockton, CA"
95213,44700,"Stockton-Lodi, CA",NA,NA
95215,44700,"Stockton-Lodi, CA",85087,"Stockton, CA"
95219,44700,"Stockton-Lodi, CA",85087,"Stockton, CA"
95220,44700,"Stockton-Lodi, CA",50851,"Lodi, CA"
95221,99999,NA,NA,NA
95222,99999,NA,NA,NA
95223,99999,NA,NA,NA
95224,99999,NA,NA,NA
95225,99999,NA,NA,NA
95226,99999,NA,NA,NA
95227,44700,"Stockton-Lodi, CA",NA,NA
95228,99999,NA,NA,NA
95229,99999,NA,NA,NA
95230,44700,"Stockton-Lodi, CA",NA,NA
95231,44700,"Stockton-Lodi, CA",85087,"Stockton, CA"
95232,99999,NA,NA,NA
95233,99999,NA,NA,NA
95234,44700,"Stockton-Lodi, CA",NA,NA
95236,44700,"Stockton-Lodi, CA",NA,NA
95237,44700,"Stockton-Lodi, CA",NA,NA
95240,44700,"Stockton-Lodi, CA",50851,"Lodi, CA"
95241,44700,"Stockton-Lodi, CA",NA,NA
95242,44700,"Stockton-Lodi, CA",50851,"Lodi, CA"
95245,99999,NA,NA,NA
95246,99999,NA,NA,NA
95247,99999,NA,NA,NA
95248,99999,NA,NA,NA
95249,99999,NA,NA,NA
95251,99999,NA,NA,NA
95252,99999,NA,73315,"Rancho Calaveras, CA"
95253,44700,"Stockton-Lodi, CA",NA,NA
95254,99999,NA,NA,NA
95255,99999,NA,NA,NA
95257,99999,NA,NA,NA
95258,44700,"Stockton-Lodi, CA",50851,"Lodi, CA"
95267,44700,"Stockton-Lodi, CA",NA,NA
95269,44700,"Stockton-Lodi, CA",NA,NA
95301,32900,"Merced, CA",56251,"Merced, CA"
95303,32900,"Merced, CA",NA,NA
95304,44700,"Stockton-Lodi, CA",88280,"Tracy--Mountain House, CA"
95305,43760,"Sonora, CA",NA,NA
95306,99999,NA,NA,NA
95307,33700,"Modesto, CA",58006,"Modesto, CA"
95309,43760,"Sonora, CA",NA,NA
95310,43760,"Sonora, CA",83073,"Sonora--Twain Harte, CA"
95311,99999,NA,NA,NA
95312,32900,"Merced, CA",NA,NA
95313,33700,"Modesto, CA",NA,NA
95315,32900,"Merced, CA",23080,"Delhi, CA"
95316,33700,"Modesto, CA",89083,"Turlock, CA"
95317,32900,"Merced, CA",NA,NA
95318,99999,NA,NA,NA
95319,33700,"Modesto, CA",58006,"Modesto, CA"
95320,44700,"Stockton-Lodi, CA",27820,"Escalon, CA"
95321,43760,"Sonora, CA",NA,NA
95322,32900,"Merced, CA",36055,"Gustine, CA"
